line,CB1,CB2,offset,CB1_err,CB2_err,rms_ms,rms_binned_ms,nsubgrid,rotation,rot_A,rot_B,rot_C
FeI_5250.2,1.70905173021166,-2.4204628949229443,1169.2226312499806,0.24054103430571808,0.3186715802943306,9.007903003922847,6.949800332940035,40,spectroscopic,14.113,-1.698,-2.346
FeI_5250.6,1.5057406856341817,-2.319140126146104,1242.1955957003047,0.2123336084636496,0.28130204439191336,7.951569074145477,5.935515681466602,40,spectroscopic,14.113,-1.698,-2.346
FeI_5379,1.6031584321628676,-2.3053870316730665,1153.5445064964492,0.2976067768681951,0.39371493319056067,11.11294963835825,8.36101455819291,40,spectroscopic,14.113,-1.698,-2.346
TiII_5381,0.5813695979334158,-1.063250074643801,785.3971101490222,0.3265957086607162,0.4320655020564917,12.195474376479678,8.001161935338908,40,spectroscopic,14.113,-1.698,-2.346
FeI_5382,2.159291147588581,-3.2133310691383645,2251.99074574343,0.6490485246803005,0.8586501819927294,24.23621060525529,13.214395325763105,40,spectroscopic,14.113,-1.698,-2.346
FeI_5383,1.0620183911463503,-1.7713138257979508,1218.0267111576168,0.18549035818366202,0.2453920195949951,6.926418679988906,4.883740168419978,40,spectroscopic,14.113,-1.698,-2.346
MnI_5432,0.7258022490270493,-1.0705875600196435,333.2708924748817,0.35208224105925473,0.4656447498014167,13.14144532580726,6.308045493809418,40,spectroscopic,14.113,-1.698,-2.346
FeI_5432,1.7000287608494353,-2.4801919541580064,1171.1361861053083,0.3074354665464414,0.40659735013418585,11.474994044051934,9.701735099909513,40,spectroscopic,14.113,-1.698,-2.346
FeI_5434,0.7204002071390232,-1.3467411761008297,1067.0386948919772,0.18782867248976962,0.24841193881571147,7.0106832820549165,5.210005024667663,40,spectroscopic,14.113,-1.698,-2.346
NiI_5435,1.5150003473602542,-2.1221123199776506,912.7019186470354,0.29422143979880955,0.3891212038683654,10.98178557409375,8.033043388176765,40,spectroscopic,14.113,-1.698,-2.346
FeI_5436.3,1.9769448630913706,-2.822325848961052,1315.5530744052576,0.5551097354842087,0.7341579214903472,20.719526674736603,17.094244804236855,40,spectroscopic,14.113,-1.698,-2.346
FeI_5436.6,1.4628079434894665,-2.172396057283737,1121.9752287115648,0.32196763411341783,0.4258168430561843,12.017448606279633,8.317922485382509,40,spectroscopic,14.113,-1.698,-2.346
FeI_5576,0.8668153185774002,-1.4802462341908127,1086.410028556662,0.22246812491353987,0.2938011702481713,8.277566459419075,6.26293690491283,40,spectroscopic,14.113,-1.698,-2.346
NiI_5578,2.0862663159246746,-2.8611238850713456,1284.9065703265276,0.32181441958021323,0.4248767191191069,11.975152773948205,8.483331076156691,40,spectroscopic,14.113,-1.698,-2.346
FeII_6149,1.5236365747585652,-2.2612418237861167,1025.7534205821146,0.590990594368364,0.7771056289540654,21.793112046602353,16.46134284958414,40,spectroscopic,14.113,-1.698,-2.346
FeI_6151,1.0015470435420097,-1.5117240209572107,883.7179454347572,0.36096190612779505,0.47463619379792726,13.310669484474422,9.53919119891736,40,spectroscopic,14.113,-1.698,-2.346
CaI_6169.0,0.7199367347269906,-1.2105714750950876,537.7836108472331,0.290711079957162,0.3821199232959855,10.715760683455677,7.887818074796057,40,spectroscopic,14.113,-1.698,-2.346
CaI_6169.5,0.8023667638125176,-1.3014801131664213,593.7884895058894,0.22937048709679814,0.301491841277315,8.454666363882186,6.167373177301757,40,spectroscopic,14.113,-1.698,-2.346
FeI_6170,0.7352891015467915,-1.188773697058063,1097.4575519862176,0.3683011138607218,0.48410684771202744,13.5758761894547,9.54890264181177,40,spectroscopic,14.113,-1.698,-2.346
FeI_6173,1.4916691963235984,-2.1866893431991272,1138.2596327312144,0.32904806055501284,0.432511246846756,12.128854272080709,9.805040369532236,40,spectroscopic,14.113,-1.698,-2.346
FeI_6301,0.742056119096261,-1.3514442206320645,940.7741219920291,0.21255355869699635,0.2792778150937855,7.8233758941409315,5.906546831161609,40,spectroscopic,14.113,-1.698,-2.346
FeI_6302,1.629465861888338,-2.4572323558497438,1216.5878724018082,0.33390362018388803,0.4387217478444114,12.289838276617425,10.652312594989203,40,spectroscopic,14.113,-1.698,-2.346
